Designator,Footprint,Quantity,Value,LCSC Part #
A1,RASPI_ZERO_FULL,1,Raspberry Pi Zero v1.3,
BUZZER2,BUZ-SMD_L5.0-W5.5-P4.60,1,MLT-5020,C94598
C1,C0805,1,CL21A226MAQNNNE,C45783
C27,0603,1,10nF,
"C31, C32, C41, C52, C65",0603,5,1uF,
"C40, C55",0603,2,10uF,
"C42, C71C1",0805,2,10uF,
C43,0805,1,22uF,
"C56, C71",0603,2,100nf,
D5,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6_C2687116,C2687116
L5,1210,1,2.2uH,
"LED4, LED5, LED6",LED-SMD_L1.6-W0.8-R-RD,3,KT-0603R,C2286
Q7,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,AO3407A,C15155
R11,0603,1,1.5k,
"R12, R18, R23, R32, R33",0603,5,10k,
R16,0603,1,470,
"R21, R24, R29, R9",0603,4,1k,
"R25, R26",0603,2,220k,
R27,0603,1,100,
"R28, R38",0603,2,100k,
"R34, R37",0603,2,5.1k,
"R35, R36",0603,2,27,
R39,0603,1,820k,
SW1,SW-TH_MSK12C02,1,MSK12C02,C431540
TP34,TestPoint_Pad_1.0x1.0mm,1,ESP32_EN,
TP36,TestPoint_Pad_1.0x1.0mm,1,ESP32_BOOT,
TP38,TestPoint_Pad_1.0x1.0mm,1,ESP32_RX,
TP40,TestPoint_Pad_1.0x1.0mm,1,ESP32_TX,
U1,QFN-16_L3.0-W3.0-P0.50-TL-EP1.7,1,BQ24075RGTR,C15464
U12,SOT-23-5,1,AP2112K-3.3,
U2,CONN-SMD_ZX-PH2.0-WT2P,1,ZX-PH2.0-WT2P,C7429689
U3,SOT-563_L1.6-W1.2-P0.50-LS1.6-BR,1,TPS61023DRLR,C919459
U4,SOT-23-5_L2.9-W1.6-P0.95-LS2.9-BL,1,DW03C_C41367942,C41367942
U6,WIFIM-SMD_61P-L13.2-W12.5-P0.80,1,ESP32-C3-MINI-1U-N4,C2911374
USB1,USB-C_SMD-TYPE-C-31-M-12,1,USB-TYPE-C-018,C2927038
