Designator,Mid X,Mid Y,Rotation,Layer
A1,32.6,-14.708,0.0,top
BUZZER2,10.1,-26.750001,180.0,top
C1,42.8,-9.4,90.0,top
C27,28.43,-25.1225,90.0,top
C31,56.7,-17.875,90.0,top
C32,31.2,-18.7,270.0,top
C40,39.25,-21.375,0.0,top
C41,39.25,-23.075,0.0,top
C42,61.5,-8.1,180.0,top
C43,56.2,-11.0,0.0,top
C52,2.1,-16.8,0.0,top
C55,2.075,-11.1,0.0,top
C56,2.1,-12.7,180.0,top
C65,46.350001,-8.9625,270.0,top
C71,50.2,-17.875,90.0,top
C71C1,40.6,-9.6,270.0,top
D5,22.4,-19.2,180.0,top
L5,56.9,-8.2,180.0,top
LED4,1.2,-19.8,270.0,top
LED5,41.95,-28.6,180.0,top
LED6,34.475,-28.5,180.0,top
Q7,41.750001,-13.76,90.0,top
R11,33.8,-17.6,180.0,top
R12,32.0,-22.8,180.0,top
R16,54.2,-18.662648,0.0,top
R18,3.7,-22.4,0.0,top
R21,1.2,-22.7,90.0,top
R23,59.0,-17.075,90.0,top
R24,31.2,-28.5,0.0,top
R25,51.7,-17.875,90.0,top
R26,48.7,-17.875,90.0,top
R27,14.3,-24.075,270.0,top
R28,41.8,-16.7,0.0,top
R29,38.675,-28.6,0.0,top
R32,2.1,-14.3,0.0,top
R33,13.4,-21.7,0.0,top
R34,25.0,-21.9,180.0,top
R35,19.1,-19.3,270.0,top
R36,19.5,-16.8,0.0,top
R37,20.1,-22.1225,180.0,top
R38,62.6,-12.3,0.0,top
R39,58.8,-11.5,270.0,top
R9,31.7,-21.2,180.0,top
SW1,62.444,-18.7,90.0,top
TP34,22.7,-7.7,180.0,top
TP36,24.700001,-7.7,180.0,top
TP38,20.699999,-7.7,180.0,top
TP40,18.7,-7.7,180.0,top
U1,35.6,-20.55,180.0,top
U12,46.3,-13.1,90.0,top
U2,53.3,-25.0,0.0,top
U3,60.95,-10.199999,0.0,top
U4,54.25,-16.000001,180.0,top
U6,10.47,-15.100001,0.0,top
USB1,22.5,-26.0525,0.0,top
